Name,Address,City,Rating,Review Count,Coordinates,Price
Meagan O Photography,"['828 Ralph McGill Blvd', 'Atlanta, GA 30306']",Atlanta,5.0,15,"{'latitude': 33.7681732177734, 'longitude': -84.3605270385742}",
Old 4th Distillery,"['487 Edgewood Ave', 'Atlanta, GA 30312']",Atlanta,4.5,42,"{'latitude': 33.75408, 'longitude': -84.37162}",2.0
Brew and Bird,"['1355 Clairmont Rd', 'Decatur, GA 30033']",Decatur,4.5,147,"{'latitude': 33.792235, 'longitude': -84.30513683}",2.0
SoundGasm Studios,"['1706 Nemours Dr NW', 'Ste A102', 'Kennesaw, GA 30152']",Kennesaw,5.0,2,"{'latitude': 33.99748, 'longitude': -84.66337}",
103 West,"['103 W Paces Ferry Rd NW', 'Atlanta, GA 30305']",Atlanta,4.0,16,"{'latitude': 33.8415603637695, 'longitude': -84.3835906982422}",3.0
La Grotta Ristorante Italiano,"['2637 Peachtree Rd NE', 'Atlanta, GA 30305']",Atlanta,4.5,289,"{'latitude': 33.8266215659531, 'longitude': -84.3866370747994}",3.0
Waffle House,"['2264 Cheshire Bridge Rd NE', 'Atlanta, GA 30324']",Atlanta,3.0,56,"{'latitude': 33.81696666518881, 'longitude': -84.35258213729665}",1.0
Stoney River Steakhouse and Grill,"['2860 Cumberland Mall SE', 'Ste 1640', 'Atlanta, GA 30339']",Atlanta,4.0,446,"{'latitude': 33.881454, 'longitude': -84.469193}",3.0
Stage Audio Production,"['350 N Clarendon Ave', 'Ste B', 'Scottdale, GA 30079']",Scottdale,5.0,2,"{'latitude': 33.78516, 'longitude': -84.26379}",
Torched Hop Brewing,"['249 Ponce De Leon Ave NE', 'Atlanta, GA 30308']",Atlanta,4.5,382,"{'latitude': 33.77226, 'longitude': -84.37928}",2.0
Love Studio Photography,"['3355 Lenox Rd', 'Ste 750', 'Atlanta, GA 30326']",Atlanta,5.0,3,"{'latitude': 33.846755118941445, 'longitude': -84.35824536666779}",
Yard House,"['825 Battery Ave SE', 'Atlanta, GA 30339']",Atlanta,3.0,423,"{'latitude': 33.889496, 'longitude': -84.469138}",2.0
The White Bull,"['123 E Court Square', 'Decatur, GA 30030']",Decatur,4.5,204,"{'latitude': 33.775061, 'longitude': -84.295804}",2.0
The Atlanta Opera,"['1575 Northside Dr NW', 'Bldg 300, Ste 350', 'Atlanta, GA 30318']",Atlanta,4.0,8,"{'latitude': 33.800528575538, 'longitude': -84.4047644751159}",
Nakato Japanese Restaurant,"['1776 Cheshire Bridge Rd NE', 'Atlanta, GA 30324']",Atlanta,4.0,712,"{'latitude': 33.808668, 'longitude': -84.36461}",2.0
Sushi Hayakawa,"['5979 Buford Hwy', 'Ste A-10', 'Atlanta, GA 30340']",Atlanta,4.0,518,"{'latitude': 33.9135665061077, 'longitude': -84.2610619312561}",3.0
Horizon Theatre Company,"['1083 Austin Ave NE', 'Atlanta, GA 30307']",Atlanta,4.0,74,"{'latitude': 33.76178, 'longitude': -84.3527}",
Advanced Photo & Imaging,"['135 Cliftwood Dr NE', 'Sandy Springs, GA 30328']",Sandy Springs,5.0,9,"{'latitude': 33.915323, 'longitude': -84.382593}",
Atlanta Breakfast Club,"['249 Ivan Allen Jr Blvd', 'Atlanta, GA 30313']",Atlanta,4.5,3802,"{'latitude': 33.7649, 'longitude': -84.39546}",2.0
The St. Regis Atlanta,"['88 West Paces Ferry Rd', 'Atlanta, GA 30305']",Atlanta,4.0,169,"{'latitude': 33.83985, 'longitude': -84.38262}",4.0
Joey D's Oak Room,"['1015 Crown Pointe Pkwy', 'Atlanta, GA 30338']",Atlanta,3.5,626,"{'latitude': 33.929541, 'longitude': -84.346029}",2.0
Endive Publik House,"['1468 Mecaslin St NW', 'Atlanta, GA 30309']",Atlanta,4.5,198,"{'latitude': 33.7949724756827, 'longitude': -84.3999884629304}",2.0
The Capital Grille,"['255 E Paces Ferry Rd NE', 'Atlanta, GA 30305']",Atlanta,4.5,472,"{'latitude': 33.83892, 'longitude': -84.37911}",3.0
Waffle House,"['3016 Piedmont Rd NE', 'Atlanta, GA 30305']",Atlanta,3.0,65,"{'latitude': 33.8373421, 'longitude': -84.368634}",1.0
SweetWater Brewing Company,"['195 Ottley Dr NE', 'Atlanta, GA 30324']",Atlanta,4.0,479,"{'latitude': 33.8080799, 'longitude': -84.38119}",1.0
Buckhead Studio Photography,"['Atlanta, GA 30326']",Atlanta,5.0,2,"{'latitude': 33.84885, 'longitude': -84.36443}",
The Cooking School At Irwin Street,"['660 Irwin St', 'Atlanta, GA 30312']",Atlanta,4.5,57,"{'latitude': 33.75781, 'longitude': -84.36529}",
Hyatt House Atlanta/Downtown,"['431 Marietta St NW', 'Atlanta, GA 30313']",Atlanta,3.0,85,"{'latitude': 33.7648887634277, 'longitude': -84.3969116210938}",2.0
Kevin Rathbun Steak,"['154 Krog St', 'Atlanta, GA 30307']",Atlanta,4.0,835,"{'latitude': 33.7592481757126, 'longitude': -84.3638192292364}",4.0
Cobb Energy Performing Arts Centre,"['2800 Cobb Galleria Pkwy', 'Atlanta, GA 30339']",Atlanta,4.0,130,"{'latitude': 33.8843375746278, 'longitude': -84.458262499791}",2.0
a mano,"['587 Ralph McGill Blvd NE', 'Atlanta, GA 30312']",Atlanta,4.5,218,"{'latitude': 33.76374, 'longitude': -84.36806}",2.0
Maggiano's Little Italy,"['3368 Peachtree Rd NE', 'Atlanta, GA 30326']",Atlanta,3.5,510,"{'latitude': 33.848339, 'longitude': -84.367416}",2.0
Old Lady Gang,"['177 Peters St SW', 'Atlanta, GA 30313']",Atlanta,3.5,1934,"{'latitude': 33.74969, 'longitude': -84.39933}",2.0
Atlanta Luxury Rentals,"['3627 Clearview Pl', 'Doraville, GA 30340']",Doraville,5.0,2,"{'latitude': 33.899146, 'longitude': -84.271178}",
Storico Fresco Alimentari e Ristorante,"['3167 Peachtree Rd NE', 'Ste S', 'Atlanta, GA 30305']",Atlanta,4.0,363,"{'latitude': 33.8400192069777, 'longitude': -84.3764044785736}",2.0
Imageflow,"['6160 Peachtree Dunwoody Rd', 'Ste 120', 'Atlanta, GA 30328']",Atlanta,5.0,1,"{'latitude': 33.920447, 'longitude': -84.186301}",
640 West Community Cafe,"['640 Evans St SW', 'Atlanta, GA 30310']",Atlanta,4.0,41,"{'latitude': 33.73756, 'longitude': -84.4154}",1.0
Chops & Lobster Bar,"['70 West Paces Ferry Rd', 'Atlanta, GA 30305']",Atlanta,4.0,765,"{'latitude': 33.839833, 'longitude': -84.381844}",4.0
