Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
2A,"['25 Ave A', 'New York, NY 10009']",New York,3.5,145,"{'latitude': 40.7230068, 'longitude': -73.986042}",1.0,pDMH30bLymXDCmvAfOhP1g,"[{'alias': 'bars', 'title': 'Bars'}]"
Iggy's,"['1452 2nd Ave', 'New York, NY 10021']",New York,3.0,228,"{'latitude': 40.771091, 'longitude': -73.956291}",1.0,5JE1pUQ9EetQjY0hm1uj6A,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]"
Bar-Coastal NYC,"['1495 1st Ave', 'New York, NY 10075']",New York,4.0,297,"{'latitude': 40.77189, 'longitude': -73.95342}",2.0,UjdqrYedKDokSPE2dDwFbA,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]"
House of Yes,"['2 Wyckoff Ave', 'Brooklyn, NY 11237']",Brooklyn,4.0,296,"{'latitude': 40.70686, 'longitude': -73.92353}",1.0,XjKaW-3w7v0fGQJzIZg0cQ,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Asiate,"['80 Columbus Cir', 'Fl 35', 'New York, NY 10023']",New York,4.0,557,"{'latitude': 40.7689502648012, 'longitude': -73.9831059158054}",4.0,F4vv1nvkqN8ktbn_a4lj1g,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Spirit Lounge,"['545 River Rd', 'Edgewater, NJ 07020']",Edgewater,3.0,220,"{'latitude': 40.814161, 'longitude': -73.983078}",2.0,VcUMmrE1dx2i-IpvVMBXXQ,"[{'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
Revel Restaurant & Bar,"['835 Franklin Ave', 'Garden City, NY 11530']",Garden City,4.0,608,"{'latitude': 40.727654, 'longitude': -73.6346343}",2.0,-6K4x5d3IfeF1LMcOXmJIw,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
200 Lounge,"['200 Washington St', 'Fl 2', 'Hoboken, NJ 07030']",Hoboken,2.0,17,"{'latitude': 40.73891, 'longitude': -74.03097}",3.0,ZS57G9kpugWt0vyp1sAhfQ,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
Fushimi Bay Ridge,"['9316 4th Ave', 'Brooklyn, NY 11209']",Brooklyn,3.5,395,"{'latitude': 40.61727, 'longitude': -74.03101}",2.0,xAEs5QnuL8uMNWjmUGpK7g,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'lounges', 'title': 'Lounges'}]"
Stitch Bar & Lounge,"['247 W 37th St', 'New York, NY 10018']",New York,3.0,245,"{'latitude': 40.753981, 'longitude': -73.991225}",2.0,pa1WMGPplTm3ZNvea3aC7w,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
