Name,Address,City,Rating,Review Count,Coordinates,Price
Bravo Studios,"['40 W 27th St', 'Fl 2', 'Manhattan, NY 10001']",Manhattan,4.5,3,"{'latitude': 40.744895, 'longitude': -73.990314}",
Al-Art Video,"['150 Scranton Ave', 'Lynbrook, NY 11563']",Lynbrook,4.0,5,"{'latitude': 40.65556, 'longitude': -73.68505}",
We Rent Laptops,"['266 E 10th St', 'New York, NY 10009']",New York,5.0,2,"{'latitude': 40.72822, 'longitude': -73.98367}",
Wedding In Paris,"['4711 8th Ave', 'Brooklyn, NY 11220']",Brooklyn,4.5,49,"{'latitude': 40.6423833, 'longitude': -74.0020331}",
Solas Studio,"['117 E 24th St', 'Fl 2', 'New York, NY 10010']",New York,5.0,3,"{'latitude': 40.740695, 'longitude': -73.984875}",
Simply Creative 2,"['20-29 38th St', 'Ste 1C', 'Astoria, NY 11105']",Astoria,5.0,1,"{'latitude': 40.77617, 'longitude': -73.90294}",
Kaleidoscope Pictures,"['Brooklyn, NY 11231']",Brooklyn,5.0,8,"{'latitude': 40.6772802, 'longitude': -74.0094471}",
BAZA.Studio,"['34-36 W 32nd St', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.747727, 'longitude': -73.987349}",
Manhattan Neighborhood Network,"['537 W 59th St', 'New York, NY 10019']",New York,4.5,13,"{'latitude': 40.7713203430176, 'longitude': -73.9891662597656}",
Lockaway Self Storage,"['1 Carlton Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,33,"{'latitude': 40.6978, 'longitude': -73.97363}",
Unique Photo,"['123 US Hwy 46', 'Fairfield, NJ 07004']",Fairfield,3.5,113,"{'latitude': 40.86983, 'longitude': -74.308716}",2.0
Mashbooths Modern Photo Booth Rentals,"['712 5th Ave', 'New York, NY 10019']",New York,5.0,32,"{'latitude': 40.7630520395681, 'longitude': -73.9745437137207}",
Print Space,"['19 W 21st St', 'Ste 706', 'New York, NY 10010']",New York,4.5,45,"{'latitude': 40.7410316, 'longitude': -73.9917679}",2.0
Bergen County Camera,"['270 Westwood Ave', 'Westwood, NJ 07675']",Westwood,4.0,54,"{'latitude': 40.9930669, 'longitude': -74.0300824}",2.0
Rent A Tool NY,"['765 E New York Ave', 'Brooklyn, NY 11203']",Brooklyn,5.0,4,"{'latitude': 40.6624664308, 'longitude': -73.9375074914}",
Sweet Arts Photo Booth,"['Brooklyn, NY 11226']",Brooklyn,5.0,3,"{'latitude': 40.646181, 'longitude': -73.957062}",
Milk Studios,"['450 W 15th St', 'Ste 8', 'New York, NY 10011']",New York,4.0,40,"{'latitude': 40.7425, 'longitude': -74.00718}",3.0
ILovePhotos2,"['New Rochelle, NY 10804']",New Rochelle,4.0,1,"{'latitude': 40.9492193, 'longitude': -73.7889689}",
Life Storage,"['1690 E New York Ave', 'Brooklyn, NY 11212']",Brooklyn,5.0,1,"{'latitude': 40.67422, 'longitude': -73.90584}",
New York Computer Help,"['53 E 34th St', 'Fl 3', 'New York, NY 10016']",New York,5.0,330,"{'latitude': 40.7476305, 'longitude': -73.981924}",2.0
Life Storage,"['1301 Avenue M', 'Brooklyn, NY 11230']",Brooklyn,5.0,2,"{'latitude': 40.61796, 'longitude': -73.96168}",
P.C. Richard & Son,"['205 East 86th St', 'New York, NY 10028']",New York,3.5,165,"{'latitude': 40.7787859, 'longitude': -73.953123}",2.0
Project Booths,"['New York, NY 10138']",New York,5.0,1,"{'latitude': 40.75503, 'longitude': -73.99047}",
E.C. Pro Video Systems,"['253 W 51st St', 'New York, NY 10019']",New York,2.5,2,"{'latitude': 40.7628288, 'longitude': -73.9851837}",
Life Storage,"['52-11 29th St', 'Long Island City, NY 11101']",Long Island City,4.5,26,"{'latitude': 40.73791214, 'longitude': -73.94008279}",2.0
Life Storage,"['629 3rd Ave', 'Brooklyn, NY 11232']",Brooklyn,3.0,2,"{'latitude': 40.66553, 'longitude': -73.99534}",
Life Storage,"['134-31 Merrick Blvd', 'Jamaica, NY 11434']",Jamaica,5.0,3,"{'latitude': 40.6795858, 'longitude': -73.7577283}",
Digital Merit Photography,"['9-20 35th Ave', 'Ste 2M', 'Long Island City, NY 11106']",Long Island City,4.5,9,"{'latitude': 40.7632915915518, 'longitude': -73.9401746468994}",
TKO Suites,"['353 W 48th St', 'Fl 4', 'New York, NY 10036']",New York,3.5,5,"{'latitude': 40.76196, 'longitude': -73.98893}",
Life Storage,"['4139 Boston Rd', 'Bronx, NY 10466']",Bronx,5.0,2,"{'latitude': 40.887052, 'longitude': -73.8268710699058}",
Adventure Scuba,"['1737 York Ave', 'Manhattan, NY 10128']",Manhattan,4.0,37,"{'latitude': 40.7790899, 'longitude': -73.94505}",4.0
Life Storage,"['1430 Bruckner Blvd', 'Bronx, NY 10473']",Bronx,4.0,4,"{'latitude': 40.82284, 'longitude': -73.88186}",
Local NJ Photo Booths,"['1110 Korfitsen Rd', 'New Milford, NJ 07646']",New Milford,5.0,3,"{'latitude': 40.917971, 'longitude': -74.016191}",
Best Buy Gateway Brooklyn,"['369 Gateway Dr', 'Brooklyn, NY 11239']",Brooklyn,2.0,41,"{'latitude': 40.651542, 'longitude': -73.872589}",2.0
