Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
HanGawi,"['12 E 32nd St', 'New York, NY 10016']",New York,4.0,1183,"{'latitude': 40.746737, 'longitude': -73.984662}",3.0,xWUL-j6TQyKQHIfOtetu-Q,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'vegan', 'title': 'Vegan'}]"
Chen's Buffet Bar,"['32 Cedar St', 'New York, NY 10038']",New York,4.0,41,"{'latitude': 40.70712, 'longitude': -74.00845}",1.0,54om5q7V4anmIXw2PdNJbA,"[{'alias': 'chinese', 'title': 'Chinese'}]"
"Aroy-D, The Thai Elephant Truck","['1 14th St Hoboken Nj', 'Hoboken, NJ 07044']",Hoboken,3.5,40,"{'latitude': 40.75293, 'longitude': -74.02495}",1.0,yDR9eVFATpyzrz3x1DtJGg,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
Dumplings & Things,"['375 5th Ave', 'Brooklyn, NY 11215']",Brooklyn,3.5,226,"{'latitude': 40.67109, 'longitude': -73.98453}",1.0,7wJTUI8NmBNmZoN4zrXCPw,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
Co Co Lin Vegetarian House,"['64-19 Fresh Pond Rd', 'Ridgewood, NY 11385']",Ridgewood,4.0,264,"{'latitude': 40.70989, 'longitude': -73.89871}",2.0,S0Qydvh12n5E_uodsLa8eA,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'vegan', 'title': 'Vegan'}]"
Baodega,"['7 W 20th St', 'New York, NY 10011']",New York,4.0,152,"{'latitude': 40.74014, 'longitude': -73.99178}",2.0,3oB2_2vpeIyxJt1GvlcZBA,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'soup', 'title': 'Soup'}]"
Quantum Leap,"['226 Thompson St', 'New York, NY 10012']",New York,4.0,660,"{'latitude': 40.729212, 'longitude': -73.9988513}",2.0,xscOfj1dMkEKvhrRruLpIg,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'seafood', 'title': 'Seafood'}]"
Auntie Guan's Kitchen 108,"['108 W 14th St', 'New York, NY 10011']",New York,3.5,345,"{'latitude': 40.7377213477598, 'longitude': -73.9974148512518}",2.0,dDXtga5Kgo5B1twdezcZJA,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
Reserve Cut,"['40 Broad St', 'Fl 2', 'New York, NY 10004']",New York,4.0,280,"{'latitude': 40.706043, 'longitude': -74.011776}",4.0,D9nQb14gqhCAOaUUvJz3-Q,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'kosher', 'title': 'Kosher'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
East Garden Asian Cuisine,"['2072 Flatbush Ave', 'Brooklyn, NY 11234']",Brooklyn,3.5,10,"{'latitude': 40.6191663, 'longitude': -73.9334202}",1.0,U358IKiKV5uGjhR_H2NjVQ,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'chinese', 'title': 'Chinese'}]"
