Name,Address,City,Rating,Review Count,Coordinates,Price
Monk Space,"['4414 W 2nd St', 'Los Angeles, CA 90004']",Los Angeles,4.5,41,"{'latitude': 34.0709851, 'longitude': -118.3094999}",
44th Floor Productions,"['Los Angeles, CA 90046']",Los Angeles,5.0,1,"{'latitude': 34.09961, 'longitude': -118.35074}",
MIX Recording Studio,"['539 S Rampart Blvd', 'Los Angeles, CA 90057']",Los Angeles,4.0,9,"{'latitude': 34.062866, 'longitude': -118.2814104}",
Beverly Hills Studios,"['8929 Wilshire Blvd', 'Ste 325', 'Beverly Hills, CA 90211']",Beverly Hills,5.0,2,"{'latitude': 34.0673904, 'longitude': -118.3863525}",
Golden Retrofit & Foundation Repair,"['Los Angeles, CA 90232']",Los Angeles,5.0,240,"{'latitude': 34.01989, 'longitude': -118.39441}",
JFA Studio,"['3062 N Lima St', 'Burbank, CA 91504']",Burbank,5.0,20,"{'latitude': 34.2055376929752, 'longitude': -118.346444862549}",
Yard House,"['100 E Palm Ave', 'Burbank, CA 91502']",Burbank,3.5,594,"{'latitude': 34.181227, 'longitude': -118.311761}",2.0
Dream Team Directors,"['Los Angeles, CA 90042']",Los Angeles,5.0,10,"{'latitude': 34.1175895, 'longitude': -118.188329}",
Stray Angel Films,"['11318 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.5,26,"{'latitude': 34.045868, 'longitude': -118.448799}",
Grandma's House Catering,"['3748 W El Segundo Blvd', 'Unit B', 'Hawthorne, CA 90250']",Hawthorne,5.0,69,"{'latitude': 33.916177, 'longitude': -118.33903146}",
Central Station Media,"['11440 Ventura Blvd', 'Unit 200', 'Studio City, CA 91604']",Studio City,5.0,8,"{'latitude': 34.1391862, 'longitude': -118.3803122}",
ADC Digital,"['1011 N Fuller Ave', 'Ste M', 'Los Angeles, CA 90046']",Los Angeles,4.5,2,"{'latitude': 34.089323, 'longitude': -118.350243}",
AB Video Productions,"['5950 Buckingham Pkwy', 'Ste 1', 'Culver City, CA 90230']",Culver City,5.0,14,"{'latitude': 33.98631283, 'longitude': -118.38220017}",
Actors Co-op Theatre Company,"['1760 N Gower St', 'Los Angeles, CA 90028']",Los Angeles,4.5,42,"{'latitude': 34.1028938, 'longitude': -118.3222275}",
Yard House,"['13455 Maxella Ave', 'Marina del Rey, CA 90292']",Marina del Rey,3.5,954,"{'latitude': 33.9867211335012, 'longitude': -118.441693526459}",2.0
Point of Blue Studios,"['10545 Burbank Blvd', 'Ste 105', 'North Hollywood, CA 91601']",North Hollywood,5.0,6,"{'latitude': 34.1724269, 'longitude': -118.3608191}",
MainStream Ent,"['5649 Hollywood Blvd', 'Los Angeles, CA 90028']",Los Angeles,4.5,2,"{'latitude': 34.1018882325353, 'longitude': -118.313213302278}",
Lightstone Rentals,"['1441 Gardena Ave', 'Ste 1', 'Glendale, CA 91204']",Glendale,5.0,16,"{'latitude': 34.126851, 'longitude': -118.2601382}",
The Antaeus Theatre Company,"['110 E Broadway', 'Glendale, CA 91205']",Glendale,5.0,19,"{'latitude': 34.14613, 'longitude': -118.25442}",
NeueHouse Hollywood,"['6121 Sunset Blvd', 'Los Angeles, CA 90028']",Los Angeles,4.0,45,"{'latitude': 34.098174, 'longitude': -118.323419}",
Hurry Curry of Tokyo,"['2131 Sawtelle Blvd', 'Los Angeles, CA 90025']",Los Angeles,3.5,1538,"{'latitude': 34.0388040048905, 'longitude': -118.442234554705}",2.0
The Strand House,"['117 Manhattan Beach Blvd', 'Manhattan Beach, CA 90266']",Manhattan Beach,4.0,1839,"{'latitude': 33.88478, 'longitude': -118.41135}",3.0
Buster Brown Productions,"['Los Angeles, CA 90048']",Los Angeles,5.0,21,"{'latitude': 34.07316, 'longitude': -118.37407}",
Photo House Photography,"['244 S Oxford Ave', 'Ste 20', 'Los Angeles, CA 90004']",Los Angeles,5.0,133,"{'latitude': 34.0698635, 'longitude': -118.307535}",2.0
The Cupcake Theater,"['671 N Berendo St', 'Los Angeles, CA 90027']",Los Angeles,4.5,330,"{'latitude': 34.0832878, 'longitude': -118.2941745}",2.0
Capital Gain Productions,"['3221 Carter Ave', 'Ste 414', 'Marina Del Rey, CA 90292']",Marina Del Rey,5.0,1,"{'latitude': 33.986594, 'longitude': -118.44654}",
Grant Larson Studios,"['Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.1990814208984, 'longitude': -118.332138061523}",
BOXeight,"['1446 E Washington Blvd', 'Los Angeles, CA 90021']",Los Angeles,3.5,32,"{'latitude': 34.022048, 'longitude': -118.246833}",
Dan Ortega - Sotheby's International Realty,"['1801 Hillhurst Ave', 'Los Angeles, CA 90027']",Los Angeles,5.0,49,"{'latitude': 34.104083, 'longitude': -118.287646}",
CML Studios,"['326 Mira Loma Ave', 'Glendale, CA 91204']",Glendale,4.0,10,"{'latitude': 34.1238485, 'longitude': -118.2566823}",
Center Theatre Group Ahmanson Theatre,"['135 N Grand Ave', 'Los Angeles, CA 90012']",Los Angeles,4.5,510,"{'latitude': 34.056601, 'longitude': -118.248946}",2.0
Spot On Media,"['Glendale, CA 91205']",Glendale,5.0,14,"{'latitude': 34.13809, 'longitude': -118.24403}",
Human Element,"['453 S Spring St', 'Ste 536', 'Los Angeles, CA 90013']",Los Angeles,5.0,1,"{'latitude': 34.04779, 'longitude': -118.24975}",
Luma House Wedding Films,"['Los Angeles, CA 91411']",Los Angeles,5.0,28,"{'latitude': 34.18429, 'longitude': -118.45607}",
