Name,Address,City,Rating,Review Count,Coordinates,Price
Brain Fry Productions,"['2853 Steinway St', '2F', 'Astoria, NY 11103']",Astoria,5.0,2,"{'latitude': 40.630508, 'longitude': -74.028456}",
Silvercup Studios,"['42-22 22nd St', 'Long Island City, NY 11101']",Long Island City,4.5,12,"{'latitude': 40.751331, 'longitude': -73.943515}",
YouTube Space,"['75 9th Ave', 'New York, NY 10011']",New York,5.0,6,"{'latitude': 40.742581, 'longitude': -74.005434}",
Sun Production,"['36-06 30th St', 'C7', 'Astoria, NY 11106']",Astoria,5.0,1,"{'latitude': 40.756815, 'longitude': -73.930988}",
V-Productions,"['469 7th Ave', 'New York, NY 10018']",New York,5.0,1,"{'latitude': 40.7519226, 'longitude': -73.9894887}",
Broadway Stages,"['359 Kingsland Ave', 'Greenpoint, NY 11222']",Greenpoint,4.0,1,"{'latitude': 40.7289565103425, 'longitude': -73.9424950629473}",
Steve Palmer Films,"['New York, NY 11215']",New York,5.0,1,"{'latitude': 40.66874, 'longitude': -73.98181}",
Prosper Digital TV,"['33 35th St', 'Fl 5. Ste 523', 'Brooklyn, NY 11232']",Brooklyn,5.0,6,"{'latitude': 40.65722, 'longitude': -74.00735}",
The Self Tape Space,"['W 118th St & Manhattan Ave', 'New York, NY 10026']",New York,5.0,13,"{'latitude': 40.806343, 'longitude': -73.955873}",
MediaStorm,"['20 Jay St', 'Ste 528', 'Brooklyn, NY 11201']",Brooklyn,4.0,1,"{'latitude': 40.7040999, 'longitude': -73.9867}",
Fine Art Productions,"['1655 Oak Tree Rd', 'Ste 270', 'Edison, NJ 08820']",Edison,4.5,19,"{'latitude': 40.5709695115082, 'longitude': -74.340228068968}",
American Movie Company,"['808 Broadway', 'New York, NY 10003']",New York,5.0,9,"{'latitude': 40.7324361, 'longitude': -73.9909751}",
BC Green Screen Studio,"['152-56 W 25th St', 'Fl 2', 'Manhattan, NY 10001']",Manhattan,5.0,5,"{'latitude': 40.744865, 'longitude': -73.994056}",
Latour de Force Productions,"['New York, NY 10019']",New York,5.0,7,"{'latitude': 40.7645378112793, 'longitude': -73.9842376708984}",
Transfer City USA,"['77 Lincoln Ave', 'Staten Island, NY 10306']",Staten Island,5.0,4,"{'latitude': 40.580222, 'longitude': -74.109705}",2.0
Brooklyn Studios,"['8-16 43rd Ave', 'Long Island City, NY 11101']",Long Island City,4.5,8,"{'latitude': 40.7526277, 'longitude': -73.949923}",
Reel Creative Studios,"['146 W 29th St', 'Fl 3', 'Manhattan, NY 10001']",Manhattan,4.5,11,"{'latitude': 40.750133, 'longitude': -73.997006}",
Teleprompter Rental,"['808 Broadway', 'Ste 5P', 'New York, NY 10003']",New York,4.5,12,"{'latitude': 40.732678, 'longitude': -73.991217}",
New Dawn Films,"['88 Greenwich St', 'Ste 2702', 'New York, NY 10006']",New York,5.0,1,"{'latitude': 40.7077779, 'longitude': -74.013832}",
