Name,Address,City,Rating,Review Count,Coordinates,Price
Studio 253 NYC @ E.C. Pro Video Systems,"['Ec Pro Video Systems Inc', '253 W 51st St , Fl 3 S', 'New York, NY 10019']",New York,5.0,1,"{'latitude': 40.7628288, 'longitude': -73.9851837}",
Little Pioneer Cider House Recording,"['59 Franklin St', 'New York, NY 10013']",New York,5.0,5,"{'latitude': 40.717036, 'longitude': -74.0029852}",
Soho House New York,"['29-35 9th Ave', 'New York, NY 10014']",New York,4.0,253,"{'latitude': 40.74063741, 'longitude': -74.0059231}",
The Malt House,"['206 Thompson St', 'New York, NY 10012']",New York,4.0,424,"{'latitude': 40.728647, 'longitude': -73.999383}",2.0
Zohar Productions,"['244 Madison Ave', 'New York City, NY 10060']",New York City,5.0,2,"{'latitude': 40.7501529, 'longitude': -73.981396}",
Ruth's Chris Steak House,"['148 W 51st St', 'New York, NY 10019']",New York,4.0,976,"{'latitude': 40.7613252601449, 'longitude': -73.9822581410407}",3.0
Sleep No More,"['530 W 27th St', 'McKittrick Hotel', 'New York, NY 10001']",New York,4.0,1284,"{'latitude': 40.75072, 'longitude': -74.00379}",
Fogo de Chao Brazilian Steakhouse,"['40 W 53rd St', 'New York, NY 10019']",New York,4.0,1252,"{'latitude': 40.7610765, 'longitude': -73.9777711}",3.0
Greater Good Events,"['Jersey City, NJ 07097']",Jersey City,5.0,4,"{'latitude': 40.7205984342926, 'longitude': -74.0384262799347}",
Kaleidoscope Pictures,"['Brooklyn, NY 11231']",Brooklyn,5.0,8,"{'latitude': 40.6772802, 'longitude': -74.0094471}",
Porter House Bar And Grill,"['10 Columbus Cir', 'New York, NY 10019']",New York,3.5,644,"{'latitude': 40.7689230155194, 'longitude': -73.9826309680939}",4.0
Liberty House Restaurant,"['76 Audrey Zapp Dr', 'Jersey City, NJ 07305']",Jersey City,3.5,525,"{'latitude': 40.7092002302021, 'longitude': -74.0399466756692}",3.0
Silvercup Studios,"['42-22 22nd St', 'Long Island City, NY 11101']",Long Island City,4.5,12,"{'latitude': 40.751331, 'longitude': -73.943515}",
Teleprompter Rental,"['808 Broadway', 'Ste 5P', 'New York, NY 10003']",New York,4.5,12,"{'latitude': 40.732678, 'longitude': -73.991217}",
Public House,"['140 E 41st St', 'New York, NY 10017']",New York,3.0,570,"{'latitude': 40.7504856, 'longitude': -73.976214}",2.0
Ezamani Photography,"['Jersey City, NJ 07302']",Jersey City,5.0,3,"{'latitude': 40.72218, 'longitude': -74.04497}",
Bowery Meat Company,"['9 E 1st St', 'New York, NY 10003']",New York,4.0,513,"{'latitude': 40.72453, 'longitude': -73.9917876}",3.0
Signature Theatre,"['480 W 42nd St', 'New York, NY 10036']",New York,4.5,74,"{'latitude': 40.759317930727, 'longitude': -73.9952446355381}",
Lyric Theatre,"['214 W 43rd St', 'New York, NY 10036']",New York,4.5,133,"{'latitude': 40.757078, 'longitude': -73.987652}",
Forest Hills Station House,"['106-11 71st Ave', 'Forest Hills, NY 11375']",Forest Hills,4.0,1124,"{'latitude': 40.7199422, 'longitude': -73.8451058}",2.0
Canal Sound & Light,"['319 Canal St', 'New York, NY 10013']",New York,4.5,33,"{'latitude': 40.7202225, 'longitude': -74.0027509}",2.0
JW Marriott Essex House New York,"['160 Central Park S', 'New York, NY 10019']",New York,3.5,315,"{'latitude': 40.766276981071, 'longitude': -73.9785723399506}",3.0
New York Video Service,"['232 Mulberry St', 'New York, NY 10012']",New York,5.0,1,"{'latitude': 40.7224478, 'longitude': -73.995999}",
The Lion King,"['200 W 45th St', 'Minskoff Theatre', 'New York, NY 10036']",New York,4.5,549,"{'latitude': 40.75782, 'longitude': -73.985999}",
Double 6 Studio,"['66 Green St', 'Brooklyn, NY 11222']",Brooklyn,5.0,7,"{'latitude': 40.7331047058105, 'longitude': -73.9592819213867}",2.0
Lucid Body House,"['230 Lexington Ave', 'New York, NY 10016']",New York,5.0,5,"{'latitude': 40.7461853, 'longitude': -73.980072}",
Irish Repertory Theatre,"['132 W 22nd St', 'New York, NY 10011']",New York,4.0,27,"{'latitude': 40.742618, 'longitude': -73.994773}",
Ramscale,"['463 Wt St Penthouse', 'Ste- 1300', 'New York, NY 10014']",New York,4.5,20,"{'latitude': 40.736483, 'longitude': -74.008654}",
Sanborn Studio,"['299 Meserole St', 'New York, NY 11206']",New York,5.0,1,"{'latitude': 40.7088934, 'longitude': -73.935932}",1.0
New York Film Shop,"['437 Washington St', 'New York, NY 10013']",New York,5.0,3,"{'latitude': 40.7232895, 'longitude': -74.0101166}",
Hudson's House of Play,"['40 Riverwalk Pl', 'West New York, NJ 07093']",West New York,4.5,20,"{'latitude': 40.7815933513506, 'longitude': -74.0057181562584}",
Ricardo Steak House,"['2145 2nd Ave', 'New York, NY 10029']",New York,4.0,1136,"{'latitude': 40.793509, 'longitude': -73.94066}",3.0
The Grill,"['99 E 52nd St', 'New York, NY 10022']",New York,4.0,186,"{'latitude': 40.758323, 'longitude': -73.971892}",4.0
Town Stages,"['221 West Broadway', 'New York, NY 10013']",New York,5.0,11,"{'latitude': 40.71916, 'longitude': -74.00615}",
Mirror Tea House,"['575 Union St', 'Ste A', 'Brooklyn, NY 11215']",Brooklyn,4.5,31,"{'latitude': 40.678874, 'longitude': -73.986211}",
Beetle House,"['308 E 6th St', 'New York, NY 10003']",New York,3.5,1032,"{'latitude': 40.72708, 'longitude': -73.98801}",3.0
The Phantom of the Opera,"['245 W 44th St', '245 W 44th St', 'New York, NY 10036']",New York,4.5,395,"{'latitude': 40.7584308201499, 'longitude': -73.9880893992832}",
Blood Manor,"['359 Broadway', 'New York, NY 10013']",New York,2.5,252,"{'latitude': 40.7173465, 'longitude': -74.0041448}",
Daylight Studio,"['450 W 31st', 'Fl 10', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.75212729127809, 'longitude': -73.99985707807147}",
Deer Studios Nyc,"['240 E 56th St', 'Ste 2E', 'New York, NY 10022']",New York,4.0,5,"{'latitude': 40.758622, 'longitude': -73.966138}",
Focus Gear,"['225 W 39th St', 'Ste 600', 'New York, NY 10018']",New York,4.5,18,"{'latitude': 40.7547596, 'longitude': -73.9892358}",2.0
Mitsuwa Marketplace,"['595 River Rd', 'Edgewater, NJ 07020']",Edgewater,4.5,1691,"{'latitude': 40.8158107608922, 'longitude': -73.9801246070119}",2.0
Umi Sushi,"['177-13 Union Tpke', 'Fresh Meadows, NY 11366']",Fresh Meadows,4.5,660,"{'latitude': 40.7261983305216, 'longitude': -73.790670633316}",2.0
Nightmare New York Haunted House,"['107 Suffolk St', 'Ground Fl', 'New York, NY 10002']",New York,3.0,105,"{'latitude': 40.7191852, 'longitude': -73.9859925}",
Barano,"['26 Broadway', 'Brooklyn, NY 11249']",Brooklyn,4.5,262,"{'latitude': 40.710372, 'longitude': -73.96794}",3.0
AV360,"['2516 7th Ave', 'New York, NY 10039']",New York,5.0,2,"{'latitude': 40.8222303, 'longitude': -73.9387825}",
Sparks Steak House,"['210 E 46th St', 'New York, NY 10017']",New York,3.5,928,"{'latitude': 40.75303, 'longitude': -73.972329}",4.0
La MaMa,"['66 E 4th St', 'New York, NY 10003']",New York,3.5,8,"{'latitude': 40.7265, 'longitude': -73.99044}",
Del Frisco's Grille,"['50 Rockefeller Plz', 'New York, NY 10020']",New York,3.5,723,"{'latitude': 40.7596566, 'longitude': -73.9783161}",3.0
City Vineyard,"['233 West St', 'New York, NY 10013']",New York,4.0,945,"{'latitude': 40.7205582, 'longitude': -74.0118093}",2.0
Studio 54 Theatre,"['254 West 54th St', 'New York, NY 10019']",New York,4.0,146,"{'latitude': 40.76445, 'longitude': -73.98371}",
Steiner Studios,"['15 Washington Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,7,"{'latitude': 40.6983157794782, 'longitude': -73.967696428299}",
Playwrights Horizons,"['416 W 42nd St', 'New York, NY 10036']",New York,4.5,25,"{'latitude': 40.7585951, 'longitude': -73.9937782}",
Vivian Beaumont Theatre,"['150 W 65th St', 'Lincoln Center Theater', 'New York, NY 10023']",New York,4.0,81,"{'latitude': 40.7735367, 'longitude': -73.9837265}",
Gershwin Theatre,"['222 West 51st St', 'New York, NY 10019']",New York,4.5,282,"{'latitude': 40.7626, 'longitude': -73.98514}",
Wayan,"['20 Spring St', 'New York, NY 10012']",New York,4.5,248,"{'latitude': 40.7213813139202, 'longitude': -73.9950757664721}",3.0
Almoradie Media,"['New York, NY 10040']",New York,5.0,2,"{'latitude': 40.85902, 'longitude': -73.93127}",
Majestic Theatre,"['245 W 44th St', 'New York, NY 10036']",New York,4.0,197,"{'latitude': 40.75838, 'longitude': -73.98821}",
The Palm - Midtown,"['250 W 50th St', 'New York, NY 10019']",New York,3.5,452,"{'latitude': 40.76189, 'longitude': -73.98541}",3.0
The Lee Strasberg Theatre and Film Institute,"['115 E 15th St', 'New York, NY 10003']",New York,4.0,15,"{'latitude': 40.7350997924805, 'longitude': -73.9887313842773}",
The Bell House,"['149 7th St', 'Brooklyn, NY 11215']",Brooklyn,4.0,376,"{'latitude': 40.673735, 'longitude': -73.991658}",2.0
Pecoraro Latteria,"['636 Metropolitian Ave', 'New York, NY 11211']",New York,4.5,9,"{'latitude': 40.714055, 'longitude': -73.947825}",
BC Green Screen Studio,"['152-56 W 25th St', 'Fl 2', 'Manhattan, NY 10001']",Manhattan,5.0,5,"{'latitude': 40.744865, 'longitude': -73.994056}",
