Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Flora Nails & Spa Inc,"['57 Front St', 'Brooklyn, NY 11201']",Brooklyn,3.5,53,"{'latitude': 40.7026834, 'longitude': -73.991288}",2.0,PoY2JHaoOi3Gg58H7upeOA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'othersalons', 'title': 'Nail Salons'}]"
Island Bliss Day Spa,"['1869 Victory Blvd', 'Staten Island, NY 10314']",Staten Island,3.5,42,"{'latitude': 40.613091, 'longitude': -74.126028}",2.0,dKLS2l3pCu6-chHr3h9iQg,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}]"
Mynd Spa & Salon,"['25 W 26th St', 'Fl 2', 'New York, NY 10010']",New York,4.0,5,"{'latitude': 40.744386, 'longitude': -73.989884}",,bhIjv7f3uScujL_iQXItMw,"[{'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}]"
Delacqua Salon & Spa,"['2027 86th St', 'Brooklyn, NY 11214']",Brooklyn,4.5,250,"{'latitude': 40.60427, 'longitude': -73.99737}",2.0,2ojMkje0zEZhs8RFrq0Wrw,"[{'alias': 'hair', 'title': 'Hair Salons'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]"
Green Bodywork,"['680 Manhattan Ave', 'Brooklyn, NY 11222']",Brooklyn,4.0,18,"{'latitude': 40.7251319885254, 'longitude': -73.9512481689453}",2.0,ElKjz_JxHdEIRsIRGvT_NA,"[{'alias': 'massage', 'title': 'Massage'}]"
Amethyst Integrative Massage,"['267 Central Ave', 'White Plains, NY 10606']",White Plains,5.0,42,"{'latitude': 41.03493, 'longitude': -73.78223}",2.0,AUqn8tqkk4Cm5Y5tN7SYhg,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'psychics', 'title': 'Psychics'}]"
Sooth Away Your Aches,"['198 Main St', 'Little Ferry, NJ 07643']",Little Ferry,5.0,50,"{'latitude': 40.8520431518555, 'longitude': -74.0409622192383}",,TYreHN2ElrV1ij_QybBbLQ,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Full-Spectrum Touch Massage & Body Therapy,"['343 5th Ave', 'Studio A', 'Brooklyn, NY 11215']",Brooklyn,5.0,6,"{'latitude': 40.671872, 'longitude': -73.983709}",2.0,QzZd-jCorKtWg3IWPlcZVQ,"[{'alias': 'health', 'title': 'Health & Medical'}, {'alias': 'massage', 'title': 'Massage'}]"
East Natural Therapy 88,"['215 E 76th St', 'New York, NY 10021']",New York,5.0,4,"{'latitude': 40.7721, 'longitude': -73.95791}",,8gDL8uLMNVgX1nR4fdZumA,"[{'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'reflexology', 'title': 'Reflexology'}]"
Carnegie Hill Massage,"['126A E 92nd St', 'New York, NY 10128']",New York,5.0,8,"{'latitude': 40.783335, 'longitude': -73.953474}",,rGoOZjOa8mxpQZVQmO54Yg,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Teva Massage,"['247 W 11th St', 'Ste 103A', 'New York, NY 10014']",New York,5.0,12,"{'latitude': 40.73646296414797, 'longitude': -74.00319993722907}",,k2n3QkO5gNHcUrNdzOuwDw,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Red Moon Wellness,"['405 5th Ave', 'Fl 2', 'Brooklyn, NY 11215']",Brooklyn,5.0,61,"{'latitude': 40.6701447, 'longitude': -73.9852182}",,nPsgGBflzwsDNXWZfaq8dg,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'doulas', 'title': 'Doulas'}, {'alias': 'childbirthedu', 'title': 'Childbirth Education'}]"
Wu Lim Qi Gong Master,"['179 Grand St', 'New York, NY 10013']",New York,4.0,88,"{'latitude': 40.71942, 'longitude': -73.99793}",1.0,ZzLc0Zdj54kTRrZJtFU3Wg,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'tuina', 'title': 'Tui Na'}]"
Oriental Oasis 78,"['443 E 78th St', 'Manhattan, NY 10075']",Manhattan,4.0,101,"{'latitude': 40.77107, 'longitude': -73.95153}",1.0,1xoTVUHsD2kqYgbYeRH86A,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'reflexology', 'title': 'Reflexology'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Lovely Spa,"['27-12 23rd Ave', 'Astoria, NY 11105']",Astoria,4.0,69,"{'latitude': 40.7756, 'longitude': -73.91507}",2.0,b2pz2MLe7PgHWTAaZ5wdbA,"[{'alias': 'waxing', 'title': 'Waxing'}, {'alias': 'othersalons', 'title': 'Nail Salons'}, {'alias': 'reflexology', 'title': 'Reflexology'}]"
Panda Spa,"['27-22 30th Ave', 'Astoria, NY 11102']",Astoria,4.0,17,"{'latitude': 40.7679228966948, 'longitude': -73.9236885405779}",,HE9s2EefTDz1DH9JpBSF5g,"[{'alias': 'massage', 'title': 'Massage'}]"
Soho Acupuncture Center,"['217 Ctr St', 'Fl 2', 'New York, NY 10013']",New York,5.0,66,"{'latitude': 40.71952, 'longitude': -73.99891}",,iIeSfKqQ4EgukLDh17NC2Q,"[{'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'tcm', 'title': 'Traditional Chinese Medicine'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
